combo,features_used,dim,best_params,test_accuracy,test_macro_f1,test_weighted_f1,timestamp
E7_HOG,HOG,256,"{'C': 100, 'gamma': 'scale'}",0.24120603015075376,0.19661583843329059,0.22602923265181926,2025-11-27 08:24:13
E7_COLOR,COLOR,96,"{'C': 10, 'gamma': 'scale'}",0.2185929648241206,0.20102791066471307,0.20837830069519678,2025-11-27 08:25:11
E7_LBP,LBP,26,"{'C': 100, 'gamma': 0.01}",0.2135678391959799,0.19756734203290285,0.21390208608140937,2025-11-27 08:25:58
E7_HOG+COLOR,HOG+COLOR,352,"{'C': 100, 'gamma': 'scale'}",0.23115577889447236,0.18228649713567377,0.2138942535090182,2025-11-27 08:28:20
E7_HOG+LBP,HOG+LBP,282,"{'C': 100, 'gamma': 'scale'}",0.23869346733668342,0.1966611672076153,0.22487599795285765,2025-11-27 08:30:38
E7_COLOR+LBP,COLOR+LBP,122,"{'C': 100, 'gamma': 0.001}",0.2638190954773869,0.24209833311949064,0.2601298048103545,2025-11-27 08:31:44
E7_HOG+COLOR+LBP,HOG+COLOR+LBP,378,"{'C': 100, 'gamma': 'scale'}",0.24120603015075376,0.19330170983686337,0.22501302063332512,2025-11-27 08:34:18
